meetinghouse_id,assignment_id,assignment_type,assignment_name
5035147-02-01,51160,ward,Hill Spring Ward
5010144-01-01,22772,ward,Sanger Ward
5010144-01-01,2013932,familysearchcenter,Sanger California Family History Center
5296307-01-01,178861,ward,Centro Cívico Ward
5002048-01-01,154563,ward,Glenwood Ward
5268540-01-01,129763,ward,Bourdon Ranch Ward
5268540-01-01,544868,ward,Centennial 8th Ward
5268540-01-01,33774,ward,Love Lake Ward
5907285-01-01,253960,ward,Belen Ward
5907285-01-01,443603,ward.spanish,Tomé Branch (Spanish)
5423422-01-01,357138,ward,Baronesa Ward
5423422-01-01,2047284,ward,Helena Maria Ward
5423422-01-01,542687,ward,Munhoz Júnior Ward
5521378-01-01,1052268,ward,Evergreen Ward
5521378-01-01,124001,ward,Midnapore Ward
5521378-01-01,180580,ward,Silverado Ward
5521378-01-01,274240,stake,Calgary Alberta Foothills Stake
5521378-01-01,274240,stakecenter,Calgary Alberta Foothills Stake
5521378-01-01,3352781,familysearchcenter,Calgary Alberta Foothills Family History Center
5041104-01-01,44938,ward,Kokomo Ward
5041104-01-01,3334457,familysearchcenter,Kokomo Indiana Family History Center
5265878-01-01,305634,ward,Montealegre Ward
5010390-01-01,366730,ward,Santa Cruz da Serra Ward
5724872-01-01,140430,ward,La Grita Branch
5381118-01-01,223174,ward,Valle Azapa Ward
5444640-01-01,280968,ward,Naju Branch
5282322-01-01,305693,ward,Miraflores Ward
5198356-01-01,59781,ward,San Juan Centro Ward
5431123-01-01,103349,ward,Oakridge Ward
5431123-01-01,234435,ward,Orchard Ward
5431123-01-01,434183,ward,Shepard Creek Ward
5005424-01-01,363839,ward,Cauayan Branch
5133661-01-01,103136,ward,Oakdale  1st Ward
5133661-01-01,193178,ward,Oakdale  2nd Ward
5181194-01-01,84751,ward,Maebashi Ward
5373883-01-01,322733,ward,Tupungato Branch
5298423-01-01,288160,ward,Lanco Branch
5002075-01-01,2030063,ward,Dry Creek 1st Ward
5002075-01-01,15202,ward,Jessie's Brook Ward
